NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Other Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Low,Connected Vehicle System Monitoring and Management,Physical
ITS Object,Class 5,High,High,High,Connected Vehicle System Monitoring and Management,Physical
Driver,,,,,Connected Eco-Driving,Physical
Vehicle,Class 3,Not Applicable,High,Moderate,Connected Eco-Driving,Physical
Other Vehicles,Class 3,Not Applicable,High,Moderate,Connected Eco-Driving,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Connected Eco-Driving,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Connected Eco-Driving,Physical
Vehicle,Class 1,Not Applicable,Low,Moderate,Object Registration and Discovery,Physical
Object Registration and Discovery System,Class 3,Low,High,Moderate,Object Registration and Discovery,Physical
ORDS Operator,,,,,Object Registration and Discovery,Physical
ITS Object,Class 3,Low,High,Moderate,Object Registration and Discovery,Physical
Vehicle,Class 5,Moderate,Moderate,High,Location and Time,Physical
Connected Vehicle Roadside Equipment,Class 5,Low,High,High,Location and Time,Physical
Center,Class 5,Low,Low,High,Location and Time,Physical
Data Distribution System,Class 1,Not Applicable,Low,Moderate,Location and Time,Physical
Service Monitor System,Class 3,Not Applicable,High,Moderate,Location and Time,Physical
Service Monitor System Operator,,,,,Location and Time,Physical
Network Time Source,Class 3,Not Applicable,High,Moderate,Location and Time,Physical
Location and Time Data Source,Class 5,Moderate,High,High,Location and Time,Physical
Basic Vehicle,,,,,Location and Time,Physical
Position Corrections Source,Class 5,Not Applicable,High,High,Location and Time,Physical
Field,Class 5,Moderate,Moderate,High,Location and Time,Physical
Personal,Class 5,Moderate,Moderate,High,Location and Time,Physical
Traffic Management Center,Class 1,Low,Low,Low,Electronic Toll Collection,Physical
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection,Physical
Personal Information Device,Class 4,High,High,Moderate,Electronic Toll Collection,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection,Physical
Payment Administration Center,Class 4,High,High,Moderate,Electronic Toll Collection,Physical
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Electronic Toll Collection,Physical
Payment Device,Class 5,Moderate,Moderate,High,Electronic Toll Collection,Physical
Payment Administrator,,,,,Electronic Toll Collection,Physical
DMV,Class 4,High,High,Moderate,Electronic Toll Collection,Physical
Other Payment Administration Centers,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection,Physical
Light Vehicle OBE,Class 5,High,High,High,Electronic Toll Collection,Physical
Light Vehicle Driver,,,,,Electronic Toll Collection,Physical
Transportation Information Center,Class 5,Low,Low,High,Road Use Charging,Physical
Personal Information Device,Class 5,High,High,High,Road Use Charging,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Road Use Charging,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Road Use Charging,Physical
Payment Administration Center,Class 5,High,High,High,Road Use Charging,Physical
ITS Roadway Payment Equipment,Class 5,High,High,High,Road Use Charging,Physical
Payment Device,Class 5,Moderate,Moderate,High,Road Use Charging,Physical
Payment Administrator,,,,,Road Use Charging,Physical
DMV,Class 4,High,High,Moderate,Road Use Charging,Physical
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Road Use Charging,Physical
Traveler Support Equipment,Class 5,High,High,High,Road Use Charging,Physical
Light Vehicle OBE,Class 5,High,High,High,Road Use Charging,Physical
Light Vehicle Driver,,,,,Road Use Charging,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Commercial Vehicle Driver,,,,,Electronic Driver Logs,Physical
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Commercial Vehicle Inspector,,,,,Electronic Driver Logs,Physical
Basic Commercial Vehicle,,,,,Electronic Driver Logs,Physical
Security Credentials Registry,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Commercial Vehicle Service Provider Center,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Other Commercial Vehicle Service Provider Centers,Class 4,High,High,Moderate,Electronic Driver Logs,Physical
Driver Identification Card,Class 4,High,Moderate,Moderate,Electronic Driver Logs,Physical
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance,Physical
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance,Physical
Commercial Vehicle Driver,,,,,Intelligent Speed Compliance,Physical
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance,Physical
Commercial Vehicle Service Provider Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance,Physical
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program,Physical
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program,Physical
Commercial Vehicle Driver,,,,,Intelligent Access Program,Physical
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program,Physical
Commercial Vehicle Service Provider Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program,Physical
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring,Physical
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring,Physical
Commercial Vehicle Driver,,,,,Intelligent Access Program - Weight Monitoring,Physical
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring,Physical
Commercial Vehicle Service Provider Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring,Physical
On-Board Weight Monitoring Equipment,,,,,Intelligent Access Program - Weight Monitoring,Physical
Driver,,,,,In-Vehicle Signage,Physical
Vehicle,Class 1,Low,Low,Moderate,In-Vehicle Signage,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,In-Vehicle Signage,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,In-Vehicle Signage,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,In-Vehicle Signage,Physical
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,In-Vehicle Signage,Physical
Traffic Operations Personnel,,,,,In-Vehicle Signage,Physical
Maint and Constr Vehicle OBE,Class 1,Low,Moderate,Moderate,In-Vehicle Signage,Physical
Emergency Vehicle OBE,Class 1,Low,Moderate,Moderate,In-Vehicle Signage,Physical
Wide Area Information Disseminator System,Class 5,High,High,High,ITS Communications,Physical
ITS Object,Class 5,High,High,High,ITS Communications,Physical
Other ITS Objects,Class 5,High,High,High,ITS Communications,Physical
ITS Communications Equipment,Class 5,High,High,High,ITS Communications,Physical
Roadside Communications Unit,Class 5,High,High,High,ITS Communications,Physical
Pathway Communications Unit,Class 5,High,High,High,ITS Communications,Physical
Vehicle,Class 3,Moderate,High,Moderate,Map Management,Physical
Map Update System,Class 3,Moderate,High,Moderate,Map Management,Physical
Other Vehicles,Class 3,Not Applicable,High,Low,Map Management,Physical
Maint and Constr Management Center,Class 3,Low,High,Moderate,Map Management,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Map Management,Physical
Parking Area Equipment,Class 3,Low,High,Moderate,Map Management,Physical
Traveler Support Equipment,Class 1,Not Applicable,Low,Moderate,Map Management,Physical
Commercial Vehicle Administration Center,Class 1,Low,Moderate,Low,Map Management,Physical
Center,Class 3,Low,High,Moderate,Map Management,Physical
MAP GIS Operator,,,,,Map Management,Physical
Other Map Update Systems,Class 3,Low,High,Moderate,Map Management,Physical
Personal,Class 1,Low,Low,Moderate,Map Management,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Traffic Surveillance,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Traffic Surveillance,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Infrastructure-Based Traffic Surveillance,Physical
Traffic Operations Personnel,,,,,Infrastructure-Based Traffic Surveillance,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Traffic Surveillance,Physical
Basic Vehicle,Class 1,Not Applicable,Moderate,Low,Infrastructure-Based Traffic Surveillance,Physical
Vehicle Characteristics,,,,,Infrastructure-Based Traffic Surveillance,Physical
Driver,,,,,Traffic Signal Control,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Traffic Signal Control,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Traffic Signal Control,Physical
Traffic Operations Personnel,,,,,Traffic Signal Control,Physical
Pedestrian,,,,,Traffic Signal Control,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Signal Control,Physical
MMV User,,,,,Traffic Signal Control,Physical
Vehicle Characteristics,,,,,Traffic Signal Control,Physical
Driver,,,,,Traffic Metering,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Traffic Metering,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Metering,Physical
Traffic Operations Personnel,,,,,Traffic Metering,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Metering,Physical
Vehicle Characteristics,,,,,Traffic Metering,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,HOV/HOT Lane Management,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management,Physical
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,HOV/HOT Lane Management,Physical
Personal Information Device,Class 4,High,High,Moderate,HOV/HOT Lane Management,Physical
Traffic Operations Personnel,,,,,HOV/HOT Lane Management,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management,Physical
Payment Administration Center,Class 4,High,High,Moderate,HOV/HOT Lane Management,Physical
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,HOV/HOT Lane Management,Physical
Payment Device,Class 5,Moderate,Moderate,High,HOV/HOT Lane Management,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management,Physical
Vehicle Characteristics,,,,,HOV/HOT Lane Management,Physical
Light Vehicle OBE,Class 5,High,High,High,HOV/HOT Lane Management,Physical
Light Vehicle Driver,,,,,HOV/HOT Lane Management,Physical
Driver,,,,,Traffic Information Dissemination,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Traffic Information Dissemination,Physical
Maint and Constr Management Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Information Dissemination,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination,Physical
Transit Management Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination,Physical
Traffic Operations Personnel,,,,,Traffic Information Dissemination,Physical
Emergency Management Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Information Dissemination,Physical
Media,Class 1,Low,Low,Moderate,Traffic Information Dissemination,Physical
Basic Vehicle,Class 1,Not Applicable,Low,Low,Traffic Information Dissemination,Physical
Traffic Management Center,Class 4,High,High,Moderate,Regional Traffic Management,Physical
Traffic Operations Personnel,,,,,Regional Traffic Management,Physical
Other Traffic Management Centers,Class 4,High,High,Moderate,Regional Traffic Management,Physical
Traffic Management Center,Class 4,High,High,Moderate,Traffic Incident Management System,Physical
Maint and Constr Management Center,Class 4,High,High,Moderate,Traffic Incident Management System,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Traffic Incident Management System,Physical
Transit Management Center,Class 4,High,High,Moderate,Traffic Incident Management System,Physical
Traffic Operations Personnel,,,,,Traffic Incident Management System,Physical
Maint and Constr Center Personnel,,,,,Traffic Incident Management System,Physical
Other Traffic Management Centers,Class 4,High,High,Moderate,Traffic Incident Management System,Physical
Event Promoter System,Class 3,Moderate,High,Moderate,Traffic Incident Management System,Physical
Emergency Management Center,Class 4,High,High,Moderate,Traffic Incident Management System,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System,Physical
Other Emergency Management Centers,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System,Physical
Emergency System Operator,,,,,Traffic Incident Management System,Physical
Rail Operations Center,Class 4,High,High,Moderate,Traffic Incident Management System,Physical
Media,Class 1,Low,Moderate,Moderate,Traffic Incident Management System,Physical
Border Inspection System,Class 3,Moderate,High,Moderate,Traffic Incident Management System,Physical
Other Maint and Constr Mgmt Centers,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System,Physical
Vehicle Characteristics,,,,,Traffic Incident Management System,Physical
Traffic Management Center,Class 5,High,High,High,Integrated Decision Support and Demand Management,Physical
Maint and Constr Management Center,Class 5,Moderate,High,High,Integrated Decision Support and Demand Management,Physical
Transportation Information Center,Class 4,High,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Traffic Operations Personnel,,,,,Integrated Decision Support and Demand Management,Physical
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Other Traffic Management Centers,Class 4,High,High,Moderate,Integrated Decision Support and Demand Management,Physical
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Event Promoter System,Class 3,Moderate,High,Moderate,Integrated Decision Support and Demand Management,Physical
Emergency Management Center,Class 4,High,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management,Physical
Driver,,,,,Emissions Monitoring,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Transportation Information Center,Class 1,Not Applicable,Low,Low,Emissions Monitoring,Physical
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Weather Service System,Class 1,Low,Moderate,Low,Emissions Monitoring,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring,Physical
Emissions Management Operator,,,,,Emissions Monitoring,Physical
Media,Class 1,Not Applicable,Low,Low,Emissions Monitoring,Physical
Basic Transit Vehicle,,,,,Emissions Monitoring,Physical
Basic Vehicle,,,,,Emissions Monitoring,Physical
Driver,,,,,Standard Railroad Grade Crossing,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Standard Railroad Grade Crossing,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Standard Railroad Grade Crossing,Physical
Wayside Equipment,Class 2,Moderate,Moderate,Moderate,Standard Railroad Grade Crossing,Physical
Pedestrian,,,,,Standard Railroad Grade Crossing,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Standard Railroad Grade Crossing,Physical
Rail Operations Center,Class 2,Moderate,Moderate,Moderate,Standard Railroad Grade Crossing,Physical
MMV User,,,,,Standard Railroad Grade Crossing,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Railroad Operations Coordination,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Railroad Operations Coordination,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Railroad Operations Coordination,Physical
Rail Operations Center,Class 2,Moderate,Moderate,Moderate,Railroad Operations Coordination,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Parking Operator,,,,,Parking Space Management,Physical
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Parking Manager,,,,,Parking Space Management,Physical
Vehicle Characteristics,,,,,Parking Space Management,Physical
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Parking Space Management,Physical
Light Vehicle Driver,,,,,Parking Space Management,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Regional Parking Management,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management,Physical
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management,Physical
Event Promoter System,Class 3,Moderate,High,Moderate,Regional Parking Management,Physical
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Regional Parking Management,Physical
Other Parking Management Centers,Class 2,Moderate,Moderate,Low,Regional Parking Management,Physical
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management,Physical
Parking Manager,,,,,Regional Parking Management,Physical
Driver,,,,,Reversible Lane Management,Physical
Vehicle,Class 1,Low,Low,Moderate,Reversible Lane Management,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Reversible Lane Management,Physical
ITS Roadway Equipment,Class 4,High,High,Moderate,Reversible Lane Management,Physical
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Reversible Lane Management,Physical
Traffic Operations Personnel,,,,,Reversible Lane Management,Physical
Other ITS Roadway Equipment,Class 4,High,High,Moderate,Reversible Lane Management,Physical
Vehicle Characteristics,,,,,Reversible Lane Management,Physical
Driver,,,,,Speed Warning and Enforcement,Physical
Vehicle,Class 1,Low,Low,Moderate,Speed Warning and Enforcement,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Speed Warning and Enforcement,Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Speed Warning and Enforcement,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Speed Warning and Enforcement,Physical
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Speed Warning and Enforcement,Physical
Enforcement Center,Class 3,Moderate,High,Moderate,Speed Warning and Enforcement,Physical
Vehicle Characteristics,,,,,Speed Warning and Enforcement,Physical
Driver,,,,,Drawbridge Management,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Drawbridge Management,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Drawbridge Management,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Drawbridge Management,Physical
Traffic Operations Personnel,,,,,Drawbridge Management,Physical
Multimodal Crossing Equipment,Class 2,Moderate,Moderate,Moderate,Drawbridge Management,Physical
Driver,,,,,Roadway Closure Management,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Roadway Closure Management,Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Roadway Closure Management,Physical
ITS Roadway Equipment,Class 4,High,High,Moderate,Roadway Closure Management,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Roadway Closure Management,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Roadway Closure Management,Physical
Transit Management Center,Class 1,Low,Low,Moderate,Roadway Closure Management,Physical
Traffic Operations Personnel,,,,,Roadway Closure Management,Physical
Maint and Constr Vehicle OBE,Class 3,Moderate,High,Moderate,Roadway Closure Management,Physical
Maint and Constr Center Personnel,,,,,Roadway Closure Management,Physical
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Roadway Closure Management,Physical
Emergency Personnel,,,,,Roadway Closure Management,Physical
Emergency Management Center,Class 3,Moderate,High,Moderate,Roadway Closure Management,Physical
Other ITS Roadway Equipment,Class 4,High,High,Moderate,Roadway Closure Management,Physical
Emergency System Operator,,,,,Roadway Closure Management,Physical
Basic Vehicle,Class 1,Not Applicable,Low,Low,Roadway Closure Management,Physical
Maint and Constr Vehicle Operator,,,,,Roadway Closure Management,Physical
Driver,,,,,Variable Speed Limits,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Variable Speed Limits,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Variable Speed Limits,Physical
Traffic Operations Personnel,,,,,Variable Speed Limits,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Variable Speed Limits,Physical
Vehicle Characteristics,,,,,Variable Speed Limits,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Variable Speed Limits,Physical
Driver,,,,,Dynamic Lane Management and Shoulder Use,Physical
Vehicle,Class 3,Low,High,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Dynamic Lane Management and Shoulder Use,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Traffic Operations Personnel,,,,,Dynamic Lane Management and Shoulder Use,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Other Traffic Management Centers,Class 3,Moderate,High,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Lane Management and Shoulder Use,Physical
Border Inspection System,Class 1,Low,Moderate,Low,Dynamic Lane Management and Shoulder Use,Physical
Multimodal Crossing Equipment,Class 1,Low,Moderate,Low,Dynamic Lane Management and Shoulder Use,Physical
Vehicle Characteristics,,,,,Dynamic Lane Management and Shoulder Use,Physical
Driver,,,,,Dynamic Roadway Warning,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Dynamic Roadway Warning,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Roadway Warning,Physical
Traffic Operations Personnel,,,,,Dynamic Roadway Warning,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Dynamic Roadway Warning,Physical
MMV User,,,,,Dynamic Roadway Warning,Physical
Vehicle Characteristics,,,,,Dynamic Roadway Warning,Physical
Potential Obstacles,,,,,Dynamic Roadway Warning,Physical
Vulnerable Road Users,,,,,Dynamic Roadway Warning,Physical
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle and Equipment Tracking,Physical
Maint and Constr Vehicle OBE,Class 5,Moderate,Moderate,High,Maintenance and Construction Vehicle and Equipment Tracking,Physical
Maint and Constr Center Personnel,,,,,Maintenance and Construction Vehicle and Equipment Tracking,Physical
Location and Time Data Source,Class 5,Moderate,High,High,Maintenance and Construction Vehicle and Equipment Tracking,Physical
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle Maintenance,Physical
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle Maintenance,Physical
Maint and Constr Center Personnel,,,,,Maintenance and Construction Vehicle Maintenance,Physical
Basic Maint and Constr Vehicle,,,,,Maintenance and Construction Vehicle Maintenance,Physical
Equipment Repair Facility,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Vehicle Maintenance,Physical
Maint and Constr Vehicle Operator,,,,,Maintenance and Construction Vehicle Maintenance,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Weather Data Collection,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Weather Data Collection,Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Weather Data Collection,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Weather Data Collection,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Weather Data Collection,Physical
Transportation Information Center,Class 3,Low,High,Moderate,Weather Data Collection,Physical
Traffic Operations Personnel,,,,,Weather Data Collection,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Weather Data Collection,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Weather Data Collection,Physical
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Weather Data Collection,Physical
Maint and Constr Center Personnel,,,,,Weather Data Collection,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Weather Data Collection,Physical
Traffic Management Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution,Physical
Maint and Constr Management Center,Class 1,Low,Moderate,Moderate,Weather Information Processing and Distribution,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution,Physical
Transit Management Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Weather Information Processing and Distribution,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Weather Information Processing and Distribution,Physical
Maint and Constr Center Personnel,,,,,Weather Information Processing and Distribution,Physical
Emergency Management Center,Class 1,Low,Low,Moderate,Weather Information Processing and Distribution,Physical
Rail Operations Center,Class 1,Low,Low,Low,Weather Information Processing and Distribution,Physical
Media,Class 1,Low,Low,Low,Weather Information Processing and Distribution,Physical
Other Maint and Constr Mgmt Centers,Class 1,Low,Moderate,Low,Weather Information Processing and Distribution,Physical
Driver,,,,,Roadway Automated Treatment,Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Roadway Automated Treatment,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Roadway Automated Treatment,Physical
Maint and Constr Center Personnel,,,,,Roadway Automated Treatment,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Roadway Automated Treatment,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Winter Maintenance,Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Winter Maintenance,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Winter Maintenance,Physical
Transit Management Center,Class 1,Low,Low,Moderate,Winter Maintenance,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Winter Maintenance,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Winter Maintenance,Physical
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Winter Maintenance,Physical
Maint and Constr Center Personnel,,,,,Winter Maintenance,Physical
Other MCV OBEs,Class 1,Low,Moderate,Low,Winter Maintenance,Physical
Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Winter Maintenance,Physical
Media,Class 1,Low,Low,Low,Winter Maintenance,Physical
