NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Speed Harmonization
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Speed Harmonization
Transportation Information Center,Class 1,Low,Moderate,Moderate,Speed Harmonization
Traffic Operations Personnel,,,,,Speed Harmonization
Vehicle Characteristics,,,,,Speed Harmonization
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Parking Operator,,,,,Smart Park and Ride System
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Parking Manager,,,,,Smart Park and Ride System
Vehicle Characteristics,,,,,Smart Park and Ride System
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Smart Park and Ride System
Light Vehicle Driver,,,,,Smart Park and Ride System
Driver,,,,,Stop Sign Gap Assist
Vehicle,Class 3,Low,High,Moderate,Stop Sign Gap Assist
Other Vehicles,Class 3,Not Applicable,High,Moderate,Stop Sign Gap Assist
Traffic Management Center,Class 3,Moderate,High,Moderate,Stop Sign Gap Assist
ITS Roadway Equipment,Class 5,Moderate,High,High,Stop Sign Gap Assist
Connected Vehicle Roadside Equipment,Class 5,Moderate,High,High,Stop Sign Gap Assist
Basic Vehicle,,,,,Stop Sign Gap Assist
Vehicle Characteristics,,,,,Stop Sign Gap Assist
Roadway Environment,Class 1,Not Applicable,Low,Low,Stop Sign Gap Assist
Vulnerable Road Users,,,,,Stop Sign Gap Assist
Driver,,,,,Spot Weather Impact Warning
Vehicle,Class 1,Low,Moderate,Moderate,Spot Weather Impact Warning
Traffic Management Center,Class 5,Moderate,High,High,Spot Weather Impact Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Spot Weather Impact Warning
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Spot Weather Impact Warning
Transportation Information Center,Class 3,Moderate,High,Moderate,Spot Weather Impact Warning
Personal Information Device,Class 1,Low,Low,Moderate,Spot Weather Impact Warning
Traffic Operations Personnel,,,,,Spot Weather Impact Warning
TIC Operator,,,,,Spot Weather Impact Warning
Traveler,,,,,Spot Weather Impact Warning
Alerting and Advisory System,Class 5,Moderate,High,High,Spot Weather Impact Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,Spot Weather Impact Warning
Traffic Management Center,Class 1,Low,Moderate,Moderate,Transit Connection Protection
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Transit Connection Protection
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Transit Connection Protection
Transit Vehicle Operator,,,,,Transit Connection Protection
Transit Operations Personnel,,,,,Transit Connection Protection
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Transit Connection Protection
Alternate Mode Transportation Center,Class 2,Moderate,Moderate,Moderate,Transit Connection Protection
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Transit Connection Protection
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Transit Connection Protection
Basic Transit Vehicle,,,,,Transit Connection Protection
Traffic Management Center,Class 4,High,Moderate,Moderate,Dynamic Transit Operations
Maint and Constr Management Center,Class 3,Low,High,Moderate,Dynamic Transit Operations
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Dynamic Transit Operations
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Dynamic Transit Operations
Transit Management Center,Class 4,High,High,Moderate,Dynamic Transit Operations
Transit Vehicle Operator,,,,,Dynamic Transit Operations
Transit Operations Personnel,,,,,Dynamic Transit Operations
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Dynamic Transit Operations
Traveler,,,,,Dynamic Transit Operations
Basic Transit Vehicle,,,,,Dynamic Transit Operations
Personal Information Device,Class 3,Moderate,High,Moderate,Transit Pedestrian Indication
Transit Vehicle Operator,,,,,Transit Pedestrian Indication
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Transit Pedestrian Indication
Traveler,,,,,Transit Pedestrian Indication
Basic Transit Vehicle,,,,,Transit Pedestrian Indication
Traffic Management Center,Class 3,Moderate,High,Moderate,Transit Signal Priority
ITS Roadway Equipment,Class 5,Moderate,High,High,Transit Signal Priority
Connected Vehicle Roadside Equipment,Class 5,Moderate,Moderate,High,Transit Signal Priority
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,Transit Signal Priority
Transit Management Center,Class 1,Low,Moderate,Moderate,Transit Signal Priority
Transit Vehicle Operator,,,,,Transit Signal Priority
Transit Operations Personnel,,,,,Transit Signal Priority
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Transit Signal Priority
Wayside Equipment,Class 5,Low,High,High,Transit Signal Priority
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Transit Signal Priority
Connected Vehicle Roadside Equipment,Class 4,High,High,Moderate,Transit Stop Request
Personal Information Device,Class 4,High,Moderate,Moderate,Transit Stop Request
Transit Management Center,Class 4,High,High,Moderate,Transit Stop Request
Transit Vehicle Operator,,,,,Transit Stop Request
Transit Vehicle OBE,Class 4,High,High,Moderate,Transit Stop Request
Traveler,,,,,Transit Stop Request
Traveler Support Equipment,Class 4,High,Moderate,Moderate,Transit Stop Request
Basic Transit Vehicle,,,,,Transit Stop Request
Vehicle,,,,,Vehicle Turning Right in Front of a Transit Vehicle
Transit Vehicle Operator,,,,,Vehicle Turning Right in Front of a Transit Vehicle
Transit Vehicle OBE,,,,,Vehicle Turning Right in Front of a Transit Vehicle
Basic Transit Vehicle,,,,,Vehicle Turning Right in Front of a Transit Vehicle
Driver,,,,,Transit Vehicle at Station/Stop Warnings
Vehicle,Class 1,Low,Low,Moderate,Transit Vehicle at Station/Stop Warnings
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Transit Vehicle at Station/Stop Warnings
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Transit Vehicle at Station/Stop Warnings
Personal Information Device,Class 3,Not Applicable,High,Moderate,Transit Vehicle at Station/Stop Warnings
Transit Management Center,Class 1,Low,Moderate,Moderate,Transit Vehicle at Station/Stop Warnings
Transit Vehicle Operator,,,,,Transit Vehicle at Station/Stop Warnings
Transit Vehicle OBE,Class 3,Low,High,Moderate,Transit Vehicle at Station/Stop Warnings
Traveler,,,,,Transit Vehicle at Station/Stop Warnings
Basic Transit Vehicle,,,,,Transit Vehicle at Station/Stop Warnings
Basic Vehicle,,,,,Transit Vehicle at Station/Stop Warnings
Vehicle,Class 2,Moderate,Moderate,Moderate,Vehicle-Based Traffic Surveillance
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Vehicle-Based Traffic Surveillance
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Vehicle-Based Traffic Surveillance
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Vehicle-Based Traffic Surveillance
Transit Management Center,Class 1,Low,Moderate,Low,Vehicle-Based Traffic Surveillance
Payment Administration Center,Class 1,Low,Moderate,Low,Vehicle-Based Traffic Surveillance
Basic Vehicle,,,,,Vehicle-Based Traffic Surveillance
Wireless Communications  Provider System,Class 1,Not Applicable,Moderate,Low,Vehicle-Based Traffic Surveillance
Archived Data System,Class 5,High,High,High,Performance Monitoring
Government Reporting Systems,Class 3,Low,High,Low,Performance Monitoring
Archived Data User System,Class 4,High,High,Moderate,Performance Monitoring
Other Archived Data Systems,Class 5,Moderate,High,High,Performance Monitoring
Archived Data Administrator,,,,,Performance Monitoring
Driver,,,,,Vehicle Emergency Response
Vehicle,Class 3,Moderate,High,Moderate,Vehicle Emergency Response
Freight Equipment,,,,,Vehicle Emergency Response
Commercial Vehicle OBE,Class 5,Moderate,High,High,Vehicle Emergency Response
Commercial Vehicle Driver,,,,,Vehicle Emergency Response
Emergency Vehicle OBE,Class 5,Moderate,Moderate,High,Vehicle Emergency Response
Emergency Personnel,,,,,Vehicle Emergency Response
Basic Vehicle,,,,,Vehicle Emergency Response
Driver,,,,,Work Zone Safety Monitoring
Vehicle,Class 3,Low,High,Moderate,Work Zone Safety Monitoring
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Work Zone Safety Monitoring
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Work Zone Safety Monitoring
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Work Zone Safety Monitoring
Maint and Constr Vehicle OBE,Class 3,Moderate,High,Moderate,Work Zone Safety Monitoring
Maint and Constr Field Personnel,Class 1,Not Applicable,Moderate,Low,Work Zone Safety Monitoring
Other MCV OBEs,Class 1,Not Applicable,Moderate,Moderate,Work Zone Safety Monitoring
Basic Vehicle,,,,,Work Zone Safety Monitoring
Personnel Device,Class 3,Not Applicable,High,Moderate,Work Zone Safety Monitoring
Vehicle Characteristics,,,,,Work Zone Safety Monitoring
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Freight Drayage Optimization
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight Drayage Optimization
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight Drayage Optimization
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight Drayage Optimization
Commercial Vehicle Driver,,,,,Freight Drayage Optimization
Fleet-Freight Manager,,,,,Freight Drayage Optimization
Intermodal Customer System,Class 2,Moderate,Moderate,Moderate,Freight Drayage Optimization
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Freight Drayage Optimization
Basic Commercial Vehicle,,,,,Freight Drayage Optimization
Other Freight Distribution and Logistics Centers,Class 2,Moderate,Moderate,Moderate,Freight Drayage Optimization
Driver,,,,,Eco-Traffic Metering
Vehicle,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Metering
Traffic Management Center,Class 3,Moderate,High,Moderate,Eco-Traffic Metering
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Metering
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Metering
Traffic Operations Personnel,,,,,Eco-Traffic Metering
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Metering
Vehicle Characteristics,,,,,Eco-Traffic Metering
Roadway Environment,Class 1,Not Applicable,Low,Low,Eco-Traffic Metering
Vehicle,Class 1,Low,Moderate,Moderate,Roadside Lighting
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Roadside Lighting
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Roadside Lighting
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Roadside Lighting
Traffic Operations Personnel,,,,,Roadside Lighting
Vehicle Characteristics,,,,,Roadside Lighting
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Connected Vehicle System Monitoring and Management
Connected Vehicle Roadside Equipment,Class 5,High,High,High,Connected Vehicle System Monitoring and Management
Maint and Constr Field Personnel,,,,,Connected Vehicle System Monitoring and Management
Center,Class 4,High,High,Moderate,Connected Vehicle System Monitoring and Management
Field Maintenance Equipment,Class 5,High,High,High,Connected Vehicle System Monitoring and Management
Service Monitor System,Class 5,High,High,High,Connected Vehicle System Monitoring and Management
Service Monitor System Operator,,,,,Connected Vehicle System Monitoring and Management
Other Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Low,Connected Vehicle System Monitoring and Management
ITS Object,Class 5,High,High,High,Connected Vehicle System Monitoring and Management
Driver,,,,,Connected Eco-Driving
Vehicle,Class 3,Not Applicable,High,Moderate,Connected Eco-Driving
Other Vehicles,Class 3,Not Applicable,High,Moderate,Connected Eco-Driving
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Connected Eco-Driving
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Connected Eco-Driving
Vehicle,Class 1,Not Applicable,Low,Moderate,Object Registration and Discovery
Object Registration and Discovery System,Class 3,Low,High,Moderate,Object Registration and Discovery
ORDS Operator,,,,,Object Registration and Discovery
ITS Object,Class 3,Low,High,Moderate,Object Registration and Discovery
Vehicle,Class 5,Moderate,Moderate,High,Location and Time
Connected Vehicle Roadside Equipment,Class 5,Low,High,High,Location and Time
Center,Class 5,Low,Low,High,Location and Time
Data Distribution System,Class 1,Not Applicable,Low,Moderate,Location and Time
Service Monitor System,Class 3,Not Applicable,High,Moderate,Location and Time
Service Monitor System Operator,,,,,Location and Time
Network Time Source,Class 3,Not Applicable,High,Moderate,Location and Time
Location and Time Data Source,Class 5,Moderate,High,High,Location and Time
Basic Vehicle,,,,,Location and Time
Position Corrections Source,Class 5,Not Applicable,High,High,Location and Time
Field,Class 5,Moderate,Moderate,High,Location and Time
Personal,Class 5,Moderate,Moderate,High,Location and Time
Traffic Management Center,Class 1,Low,Low,Low,Electronic Toll Collection
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection
Personal Information Device,Class 4,High,High,Moderate,Electronic Toll Collection
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection
Financial Center,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection
Payment Administration Center,Class 4,High,High,Moderate,Electronic Toll Collection
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Electronic Toll Collection
Payment Device,Class 5,Moderate,Moderate,High,Electronic Toll Collection
Payment Administrator,,,,,Electronic Toll Collection
DMV,Class 4,High,High,Moderate,Electronic Toll Collection
Other Payment Administration Centers,Class 2,Moderate,Moderate,Moderate,Electronic Toll Collection
Light Vehicle OBE,Class 5,High,High,High,Electronic Toll Collection
Light Vehicle Driver,,,,,Electronic Toll Collection
Transportation Information Center,Class 5,Low,Low,High,Road Use Charging
Personal Information Device,Class 5,High,High,High,Road Use Charging
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Road Use Charging
Financial Center,Class 2,Moderate,Moderate,Moderate,Road Use Charging
Payment Administration Center,Class 5,High,High,High,Road Use Charging
ITS Roadway Payment Equipment,Class 5,High,High,High,Road Use Charging
Payment Device,Class 5,Moderate,Moderate,High,Road Use Charging
Payment Administrator,,,,,Road Use Charging
DMV,Class 4,High,High,Moderate,Road Use Charging
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Road Use Charging
Traveler Support Equipment,Class 5,High,High,High,Road Use Charging
Light Vehicle OBE,Class 5,High,High,High,Road Use Charging
Light Vehicle Driver,,,,,Road Use Charging
Commercial Vehicle OBE,Class 4,High,High,Moderate,Electronic Driver Logs
Fleet and Freight Management Center,Class 4,High,High,Moderate,Electronic Driver Logs
Commercial Vehicle Driver,,,,,Electronic Driver Logs
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Electronic Driver Logs
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Electronic Driver Logs
Commercial Vehicle Inspector,,,,,Electronic Driver Logs
Basic Commercial Vehicle,,,,,Electronic Driver Logs
Security Credentials Registry,Class 4,High,High,Moderate,Electronic Driver Logs
Commercial Vehicle Service Provider Center,Class 4,High,High,Moderate,Electronic Driver Logs
Other Commercial Vehicle Service Provider Centers,Class 4,High,High,Moderate,Electronic Driver Logs
Driver Identification Card,Class 4,High,Moderate,Moderate,Electronic Driver Logs
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance
Commercial Vehicle Driver,,,,,Intelligent Speed Compliance
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance
Commercial Vehicle Service Provider Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program
Commercial Vehicle Driver,,,,,Intelligent Access Program
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program
Commercial Vehicle Service Provider Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program
Commercial Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring
Commercial Vehicle Driver,,,,,Intelligent Access Program - Weight Monitoring
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring
Commercial Vehicle Service Provider Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring
On-Board Weight Monitoring Equipment,,,,,Intelligent Access Program - Weight Monitoring
Driver,,,,,In-Vehicle Signage
Vehicle,Class 1,Low,Low,Moderate,In-Vehicle Signage
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,In-Vehicle Signage
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,In-Vehicle Signage
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,In-Vehicle Signage
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,In-Vehicle Signage
Traffic Operations Personnel,,,,,In-Vehicle Signage
Maint and Constr Vehicle OBE,Class 1,Low,Moderate,Moderate,In-Vehicle Signage
Emergency Vehicle OBE,Class 1,Low,Moderate,Moderate,In-Vehicle Signage
Wide Area Information Disseminator System,Class 5,High,High,High,ITS Communications
ITS Object,Class 5,High,High,High,ITS Communications
Other ITS Objects,Class 5,High,High,High,ITS Communications
ITS Communications Equipment,Class 5,High,High,High,ITS Communications
Roadside Communications Unit,Class 5,High,High,High,ITS Communications
Pathway Communications Unit,Class 5,High,High,High,ITS Communications
Vehicle,Class 3,Moderate,High,Moderate,Map Management
Map Update System,Class 3,Moderate,High,Moderate,Map Management
Other Vehicles,Class 3,Not Applicable,High,Low,Map Management
Maint and Constr Management Center,Class 3,Low,High,Moderate,Map Management
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Map Management
Parking Area Equipment,Class 3,Low,High,Moderate,Map Management
Traveler Support Equipment,Class 1,Not Applicable,Low,Moderate,Map Management
Commercial Vehicle Administration Center,Class 1,Low,Moderate,Low,Map Management
Center,Class 3,Low,High,Moderate,Map Management
MAP GIS Operator,,,,,Map Management
Other Map Update Systems,Class 3,Low,High,Moderate,Map Management
Personal,Class 1,Low,Low,Moderate,Map Management
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Traffic Surveillance
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Traffic Surveillance
Transportation Information Center,Class 1,Low,Low,Moderate,Infrastructure-Based Traffic Surveillance
Traffic Operations Personnel,,,,,Infrastructure-Based Traffic Surveillance
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Infrastructure-Based Traffic Surveillance
Basic Vehicle,Class 1,Not Applicable,Moderate,Low,Infrastructure-Based Traffic Surveillance
Vehicle Characteristics,,,,,Infrastructure-Based Traffic Surveillance
Driver,,,,,Traffic Signal Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Traffic Signal Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Traffic Signal Control
Traffic Operations Personnel,,,,,Traffic Signal Control
Pedestrian,,,,,Traffic Signal Control
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Signal Control
MMV User,,,,,Traffic Signal Control
Vehicle Characteristics,,,,,Traffic Signal Control
Driver,,,,,Traffic Metering
Traffic Management Center,Class 3,Moderate,High,Moderate,Traffic Metering
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Metering
Traffic Operations Personnel,,,,,Traffic Metering
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Metering
Vehicle Characteristics,,,,,Traffic Metering
Traffic Management Center,Class 3,Moderate,High,Moderate,HOV/HOT Lane Management
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,HOV/HOT Lane Management
Personal Information Device,Class 4,High,High,Moderate,HOV/HOT Lane Management
Traffic Operations Personnel,,,,,HOV/HOT Lane Management
Enforcement Center,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management
Financial Center,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management
Payment Administration Center,Class 4,High,High,Moderate,HOV/HOT Lane Management
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,HOV/HOT Lane Management
Payment Device,Class 5,Moderate,Moderate,High,HOV/HOT Lane Management
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,HOV/HOT Lane Management
Vehicle Characteristics,,,,,HOV/HOT Lane Management
Light Vehicle OBE,Class 5,High,High,High,HOV/HOT Lane Management
Light Vehicle Driver,,,,,HOV/HOT Lane Management
Driver,,,,,Traffic Information Dissemination
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Traffic Information Dissemination
Maint and Constr Management Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Information Dissemination
Transportation Information Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination
Transit Management Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination
Traffic Operations Personnel,,,,,Traffic Information Dissemination
Emergency Management Center,Class 1,Low,Low,Moderate,Traffic Information Dissemination
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Information Dissemination
Media,Class 1,Low,Low,Moderate,Traffic Information Dissemination
Basic Vehicle,Class 1,Not Applicable,Low,Low,Traffic Information Dissemination
Traffic Management Center,Class 4,High,High,Moderate,Regional Traffic Management
Traffic Operations Personnel,,,,,Regional Traffic Management
Other Traffic Management Centers,Class 4,High,High,Moderate,Regional Traffic Management
Traffic Management Center,Class 4,High,High,Moderate,Traffic Incident Management System
Maint and Constr Management Center,Class 4,High,High,Moderate,Traffic Incident Management System
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System
Transportation Information Center,Class 1,Low,Low,Moderate,Traffic Incident Management System
Transit Management Center,Class 4,High,High,Moderate,Traffic Incident Management System
Traffic Operations Personnel,,,,,Traffic Incident Management System
Maint and Constr Center Personnel,,,,,Traffic Incident Management System
Other Traffic Management Centers,Class 4,High,High,Moderate,Traffic Incident Management System
Event Promoter System,Class 3,Moderate,High,Moderate,Traffic Incident Management System
Emergency Management Center,Class 4,High,High,Moderate,Traffic Incident Management System
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System
Other Emergency Management Centers,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System
Emergency System Operator,,,,,Traffic Incident Management System
Rail Operations Center,Class 4,High,High,Moderate,Traffic Incident Management System
Media,Class 1,Low,Moderate,Moderate,Traffic Incident Management System
Border Inspection System,Class 3,Moderate,High,Moderate,Traffic Incident Management System
Other Maint and Constr Mgmt Centers,Class 2,Moderate,Moderate,Moderate,Traffic Incident Management System
Vehicle Characteristics,,,,,Traffic Incident Management System
Traffic Management Center,Class 5,High,High,High,Integrated Decision Support and Demand Management
Maint and Constr Management Center,Class 5,Moderate,High,High,Integrated Decision Support and Demand Management
Transportation Information Center,Class 4,High,Moderate,Moderate,Integrated Decision Support and Demand Management
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management
Traffic Operations Personnel,,,,,Integrated Decision Support and Demand Management
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management
Other Traffic Management Centers,Class 4,High,High,Moderate,Integrated Decision Support and Demand Management
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management
Event Promoter System,Class 3,Moderate,High,Moderate,Integrated Decision Support and Demand Management
Emergency Management Center,Class 4,High,Moderate,Moderate,Integrated Decision Support and Demand Management
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Integrated Decision Support and Demand Management
Driver,,,,,Emissions Monitoring
Vehicle,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Transportation Information Center,Class 1,Not Applicable,Low,Low,Emissions Monitoring
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Weather Service System,Class 1,Low,Moderate,Low,Emissions Monitoring
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Emissions Monitoring
Emissions Management Operator,,,,,Emissions Monitoring
Media,Class 1,Not Applicable,Low,Low,Emissions Monitoring
Basic Transit Vehicle,,,,,Emissions Monitoring
Basic Vehicle,,,,,Emissions Monitoring
Driver,,,,,Standard Railroad Grade Crossing
Traffic Management Center,Class 3,Moderate,High,Moderate,Standard Railroad Grade Crossing
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Standard Railroad Grade Crossing
Wayside Equipment,Class 2,Moderate,Moderate,Moderate,Standard Railroad Grade Crossing
Pedestrian,,,,,Standard Railroad Grade Crossing
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Standard Railroad Grade Crossing
Rail Operations Center,Class 2,Moderate,Moderate,Moderate,Standard Railroad Grade Crossing
MMV User,,,,,Standard Railroad Grade Crossing
Traffic Management Center,Class 3,Moderate,High,Moderate,Railroad Operations Coordination
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Railroad Operations Coordination
Transportation Information Center,Class 1,Low,Low,Moderate,Railroad Operations Coordination
Rail Operations Center,Class 2,Moderate,Moderate,Moderate,Railroad Operations Coordination
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Parking Operator,,,,,Parking Space Management
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Parking Manager,,,,,Parking Space Management
Vehicle Characteristics,,,,,Parking Space Management
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Parking Space Management
Light Vehicle Driver,,,,,Parking Space Management
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Regional Parking Management
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management
Event Promoter System,Class 3,Moderate,High,Moderate,Regional Parking Management
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Regional Parking Management
Other Parking Management Centers,Class 2,Moderate,Moderate,Low,Regional Parking Management
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Regional Parking Management
Parking Manager,,,,,Regional Parking Management
Driver,,,,,Reversible Lane Management
