Source,InformationFlow,Destination
Connected Vehicle Roadside Equipment,vehicle signage application status,Maint and Constr Management Center
Connected Vehicle Roadside Equipment,infrastructure situation data,Maint and Constr Management Center
Connected Vehicle Roadside Equipment,environmental monitoring application status,Maint and Constr Management Center
Connected Vehicle Roadside Equipment,asset locations,Maint and Constr Management Center
Connected Vehicle Roadside Equipment,intersection infringement info,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,restricted lanes application status,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,roadway dynamic signage data,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,vehicle reported emissions,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,environmental situation data,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,work zone warning notification,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,personal location information,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,traffic situation data,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,vehicle entries and exits,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,signal preemption request,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,signal priority service request,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,signal service request,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,intersection status monitoring,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,barrier system control,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,vehicle occupancy,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,incident scene warning notification,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,wrong way vehicle detected,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,detected unequipped vehicles and VRUs,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,detected obstacles,ITS Roadway Equipment
Connected Vehicle Roadside Equipment,signal priority status,Commercial Vehicle OBE
Connected Vehicle Roadside Equipment,environmental situation data,Transportation Information Center
Connected Vehicle Roadside Equipment,road weather advisory status,Transportation Information Center
Connected Vehicle Roadside Equipment,traffic situation data,Transportation Information Center
Connected Vehicle Roadside Equipment,traveler information application status,Transportation Information Center
Connected Vehicle Roadside Equipment,intersection geometry,Personal Information Device
Connected Vehicle Roadside Equipment,arriving train information,Personal Information Device
Connected Vehicle Roadside Equipment,intersection status,Personal Information Device
Connected Vehicle Roadside Equipment,personal crossing safety information,Personal Information Device
Connected Vehicle Roadside Equipment,intersection safety warning,Personal Information Device
Connected Vehicle Roadside Equipment,local traveler information,Personal Information Device
Connected Vehicle Roadside Equipment,transit stop guidance,Personal Information Device
Connected Vehicle Roadside Equipment,rail crossing warning,Personal Information Device
Connected Vehicle Roadside Equipment,local METR information for users,Personal Information Device
Connected Vehicle Roadside Equipment,detected unequipped vehicles and VRUs,Personal Information Device
Connected Vehicle Roadside Equipment,transit user guidance application status,Transit Management Center
Connected Vehicle Roadside Equipment,transit stop request,Transit Vehicle OBE
Connected Vehicle Roadside Equipment,signal priority status,Transit Vehicle OBE
Connected Vehicle Roadside Equipment,emissions situation data,Emissions Management Center
Connected Vehicle Roadside Equipment,controlled zone application status,Emissions Management Center
Connected Vehicle Roadside Equipment,emissions monitoring application status,Emissions Management Center
Connected Vehicle Roadside Equipment,work zone warning notification,Maint and Constr Vehicle OBE
Connected Vehicle Roadside Equipment,barrier system status,Maint and Constr Vehicle OBE
Connected Vehicle Roadside Equipment,signal priority status,Maint and Constr Vehicle OBE
Connected Vehicle Roadside Equipment,local situation data,Archived Data System
Connected Vehicle Roadside Equipment,lane violation notification,Enforcement Center
Connected Vehicle Roadside Equipment,rail crossing blockage notification,Wayside Equipment
Connected Vehicle Roadside Equipment,rail crossing operational status,Wayside Equipment
Connected Vehicle Roadside Equipment,barrier system status,Emergency Vehicle OBE
Connected Vehicle Roadside Equipment,incident scene warning notification,Emergency Vehicle OBE
Connected Vehicle Roadside Equipment,signal priority status,Emergency Vehicle OBE
Connected Vehicle Roadside Equipment,vehicle occupancy,ITS Roadway Payment Equipment
Connected Vehicle Roadside Equipment,incident scene safety application status,Emergency Management Center
Connected Vehicle Roadside Equipment,transit vehicle information,Traveler Support Equipment
Connected Vehicle Roadside Equipment,local border wait times,Border Inspection System
Connected Vehicle Roadside Equipment,RSE application status,Center
Connected Vehicle Roadside Equipment,RSE status,Field Maintenance Equipment
Connected Vehicle Roadside Equipment,RSE status,Service Monitor System
Connected Vehicle Roadside Equipment,METR application status,METR System
Connected Vehicle Roadside Equipment,RSE application information,Other Connected Vehicle Roadside Equipment
Connected Vehicle Roadside Equipment,wrong way vehicle detected,Other Connected Vehicle Roadside Equipment
Connected Vehicle Roadside Equipment,detected unequipped vehicles and VRUs,Other Connected Vehicle Roadside Equipment
Connected Vehicle Roadside Equipment,personnel safety warning,Personnel Device
Connected Vehicle Roadside Equipment,parking management application status,Parking Management Center
Connected Vehicle Roadside Equipment,personal crossing safety information,Micromobility Vehicle OBE
Connected Vehicle Roadside Equipment,METR application status,METR Regulation System
Connected Vehicle Roadside Equipment,intersection geometry,Personal
Connected Vehicle Roadside Equipment,location correction,Personal
Freight Equipment,container identification,Intermodal Terminal
Freight Equipment,container location,Intermodal Terminal
Freight Equipment,freight equipment information,Commercial Vehicle OBE
Freight Equipment,container seal status,Commercial Vehicle OBE
Freight Equipment,freight equipment information,Fleet and Freight Management Center
Freight Equipment,container seal status,Fleet and Freight Management Center
Freight Equipment,container manifest,Emergency Vehicle OBE
Freight Equipment,container seal status,Emergency Vehicle OBE
Freight Equipment,tag data,Border Inspection System
Freight Equipment,container manifest,Border Inspection System
Freight Equipment,container seal status,Border Inspection System
Freight Equipment,freight equipment information,Commercial Vehicle Check Equipment
Freight Equipment,tag data,Commercial Vehicle Check Equipment
Freight Equipment,container manifest,Commercial Vehicle Check Equipment
Freight Equipment,container seal status,Commercial Vehicle Check Equipment
Intermodal Terminal,intermodal freight event information,Traffic Management Center
Intermodal Terminal,container identification request,Freight Equipment
Intermodal Terminal,container transfer location,Commercial Vehicle OBE
Intermodal Terminal,container delivery confirmation,Fleet and Freight Management Center
Intermodal Terminal,container pickup request,Fleet and Freight Management Center
Intermodal Terminal,intermodal terminal status,Fleet and Freight Management Center
Intermodal Terminal,terminal reservation,Fleet and Freight Management Center
Intermodal Terminal,freight transportation status,Fleet and Freight Management Center
Intermodal Terminal,intermodal terminal status,Transportation Information Center
Intermodal Terminal,container availability status,Freight Distribution and Logistics Center
Intermodal Terminal,intermodal terminal status,Freight Distribution and Logistics Center
Intermodal Terminal,intermodal freight archive data,Archived Data System
Commercial Vehicle OBE,special vehicle alert,Vehicle
Commercial Vehicle OBE,local signal priority request,ITS Roadway Equipment
Commercial Vehicle OBE,local signal priority request,Connected Vehicle Roadside Equipment
Commercial Vehicle OBE,container transfer location request,Intermodal Terminal
Commercial Vehicle OBE,commercial vehicle identities,Intermodal Terminal
Commercial Vehicle OBE,freight equipment information,Fleet and Freight Management Center
Commercial Vehicle OBE,vehicle environmental data,Fleet and Freight Management Center
Commercial Vehicle OBE,driver to fleet request,Fleet and Freight Management Center
Commercial Vehicle OBE,hazmat notification,Fleet and Freight Management Center
Commercial Vehicle OBE,driver log,Fleet and Freight Management Center
Commercial Vehicle OBE,on-board safety data,Fleet and Freight Management Center
Commercial Vehicle OBE,on-board vehicle data,Fleet and Freight Management Center
Commercial Vehicle OBE,commercial vehicle breach,Fleet and Freight Management Center
Commercial Vehicle OBE,driver alert response,Fleet and Freight Management Center
Commercial Vehicle OBE,route deviation alert,Fleet and Freight Management Center
Commercial Vehicle OBE,trip log,Fleet and Freight Management Center
Commercial Vehicle OBE,commercial vehicle identities,Fleet and Freight Management Center
Commercial Vehicle OBE,commercial vehicle location data,Fleet and Freight Management Center
Commercial Vehicle OBE,cv driver safety status,Fleet and Freight Management Center
Commercial Vehicle OBE,transport order status,Fleet and Freight Management Center
Commercial Vehicle OBE,freight traveler information preferences,Transportation Information Center
Commercial Vehicle OBE,cv trip request,Transportation Information Center
Commercial Vehicle OBE,intermodal dispatch info,Commercial Vehicle Driver
Commercial Vehicle OBE,alerts,Commercial Vehicle Driver
Commercial Vehicle OBE,commercial vehicle status,Commercial Vehicle Driver
Commercial Vehicle OBE,CVO pass/pull-in message,Commercial Vehicle Driver
Commercial Vehicle OBE,commercial vehicle driver updates,Commercial Vehicle Driver
Commercial Vehicle OBE,driver operations feedback,Commercial Vehicle Driver
Commercial Vehicle OBE,trip log information,Commercial Vehicle Driver
Commercial Vehicle OBE,cv driver information presentation,Commercial Vehicle Driver
Commercial Vehicle OBE,cv driver safety alert,Commercial Vehicle Driver
Commercial Vehicle OBE,freight delivery status,Intermodal Customer System
Commercial Vehicle OBE,hazmat notification,Emergency Vehicle OBE
Commercial Vehicle OBE,hazmat notification,Emergency Management Center
Commercial Vehicle OBE,commercial vehicle location data,Emergency Management Center
Commercial Vehicle OBE,commercial vehicle identities,Parking Area Equipment
Commercial Vehicle OBE,rest area parking request,Parking Area Equipment
Commercial Vehicle OBE,commercial vehicle parking arrival/departure times,Parking Area Equipment
Commercial Vehicle OBE,tag data,Border Inspection System
Commercial Vehicle OBE,freight equipment information,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,tag data,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,container seal status,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,border clearance data,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,electronic lock data,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,driver log,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,on-board safety data,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,safety inspection record,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,screening event record,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,unique identifiers,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,commercial vehicle disable status,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,expected driver identity characteristics,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,commercial vehicle identities,Commercial Vehicle Check Equipment
Commercial Vehicle OBE,driver log,Commercial Vehicle Administration Center
Commercial Vehicle OBE,on-board safety data,Commercial Vehicle Administration Center
Commercial Vehicle OBE,unique identifiers,Commercial Vehicle Administration Center
Commercial Vehicle OBE,driver log inspector display,Commercial Vehicle Inspector
Commercial Vehicle OBE,safe vehicle disable,Basic Commercial Vehicle
Commercial Vehicle OBE,driver log,Commercial Vehicle Service Provider Center
Commercial Vehicle OBE,on-board vehicle data,Commercial Vehicle Service Provider Center
Commercial Vehicle OBE,speed data,Commercial Vehicle Service Provider Center
Commercial Vehicle OBE,mass declarations,Commercial Vehicle Service Provider Center
Commercial Vehicle OBE,combination declarations,Commercial Vehicle Service Provider Center
Commercial Vehicle OBE,mass data,Commercial Vehicle Service Provider Center
Commercial Vehicle OBE,combination data,Commercial Vehicle Service Provider Center
Fleet and Freight Management Center,freight monitoring parameters,Freight Equipment
Fleet and Freight Management Center,container delivery request,Intermodal Terminal
Fleet and Freight Management Center,container pickup confirmation,Intermodal Terminal
Fleet and Freight Management Center,booking status,Intermodal Terminal
Fleet and Freight Management Center,terminal reservation request,Intermodal Terminal
Fleet and Freight Management Center,freight transportation status,Intermodal Terminal
Fleet and Freight Management Center,fleet to driver update,Commercial Vehicle OBE
Fleet and Freight Management Center,container transport assignment,Commercial Vehicle OBE
Fleet and Freight Management Center,road weather advisories,Commercial Vehicle OBE
Fleet and Freight Management Center,driver log,Commercial Vehicle OBE
Fleet and Freight Management Center,trigger area notification,Commercial Vehicle OBE
Fleet and Freight Management Center,trigger area,Commercial Vehicle OBE
Fleet and Freight Management Center,safety inspection record,Commercial Vehicle OBE
Fleet and Freight Management Center,hazmat information,Commercial Vehicle OBE
Fleet and Freight Management Center,commercial vehicle disable,Commercial Vehicle OBE
Fleet and Freight Management Center,expected driver identity characteristics,Commercial Vehicle OBE
Fleet and Freight Management Center,route deviation alert,Commercial Vehicle OBE
Fleet and Freight Management Center,trip identification number,Commercial Vehicle OBE
Fleet and Freight Management Center,driver log carrier input,Commercial Vehicle OBE
Fleet and Freight Management Center,freight traveler information preferences,Transportation Information Center
Fleet and Freight Management Center,commercial vehicle trip information,Transportation Information Center
Fleet and Freight Management Center,toll data request,Transportation Information Center
Fleet and Freight Management Center,cv trip request,Transportation Information Center
Fleet and Freight Management Center,fleet status,Fleet-Freight Manager
Fleet and Freight Management Center,fleet and freight alerts,Fleet-Freight Manager
Fleet and Freight Management Center,booking status,Intermodal Customer System
Fleet and Freight Management Center,available truck capacity,Intermodal Customer System
Fleet and Freight Management Center,freight transportation status,Intermodal Customer System
Fleet and Freight Management Center,freight breach,Intermodal Customer System
Fleet and Freight Management Center,booking status,Freight Distribution and Logistics Center
Fleet and Freight Management Center,available truck capacity,Freight Distribution and Logistics Center
Fleet and Freight Management Center,freight transportation status,Freight Distribution and Logistics Center
Fleet and Freight Management Center,load appointment status,Freight Distribution and Logistics Center
Fleet and Freight Management Center,container pickup confirmation,Freight Consolidation Station
Fleet and Freight Management Center,toll data request,Payment Administration Center
Fleet and Freight Management Center,hazmat notification,Emergency Management Center
Fleet and Freight Management Center,commercial vehicle incident notification,Emergency Management Center
Fleet and Freight Management Center,hazmat information,Emergency Management Center
Fleet and Freight Management Center,commercial vehicle location data,Emergency Management Center
Fleet and Freight Management Center,manifest data,Border Inspection Administration Center
Fleet and Freight Management Center,expedited clearance registration,Border Inspection Administration Center
Fleet and Freight Management Center,driver log,Commercial Vehicle Administration Center
Fleet and Freight Management Center,on-board safety data,Commercial Vehicle Administration Center
Fleet and Freight Management Center,unique identifiers,Commercial Vehicle Administration Center
Fleet and Freight Management Center,malfunction report,Commercial Vehicle Administration Center
Fleet and Freight Management Center,audit data,Commercial Vehicle Administration Center
Fleet and Freight Management Center,credential application,Commercial Vehicle Administration Center
Fleet and Freight Management Center,cv repair status,Commercial Vehicle Administration Center
Fleet and Freight Management Center,request for permit,Commercial Vehicle Administration Center
Fleet and Freight Management Center,tax filing,Commercial Vehicle Administration Center
Fleet and Freight Management Center,driver log carrier input,Commercial Vehicle Service Provider Center
Fleet and Freight Management Center,fleet and freight threat information,Alerting and Advisory System
Fleet and Freight Management Center,rest area parking request,Parking Management Center
Transportation Information Center,road weather advisories,Vehicle
Transportation Information Center,intersection status,Vehicle
Transportation Information Center,broadcast traveler information,Vehicle
Transportation Information Center,speed management information,Vehicle
Transportation Information Center,automated vehicle control parameters,Vehicle
Transportation Information Center,queue warning information,Vehicle
Transportation Information Center,vehicle situation data parameters,Vehicle
Transportation Information Center,special vehicle alert,Vehicle
Transportation Information Center,lane closure information,Vehicle
Transportation Information Center,road closure information,Vehicle
Transportation Information Center,reduced speed warning info,Vehicle
Transportation Information Center,restricted lanes information,Vehicle
Transportation Information Center,infrastructure safety warning notification,Vehicle
Transportation Information Center,road network environmental situation data,Traffic Management Center
Transportation Information Center,fare and price information,Traffic Management Center
Transportation Information Center,logged vehicle routes,Traffic Management Center
Transportation Information Center,road network traffic situation data,Traffic Management Center
Transportation Information Center,road network environmental situation data,Maint and Constr Management Center
Transportation Information Center,road weather advisory info,Connected Vehicle Roadside Equipment
Transportation Information Center,traveler information application info,Connected Vehicle Roadside Equipment
Transportation Information Center,parking availability,Commercial Vehicle OBE
Transportation Information Center,freight-specific traveler information,Commercial Vehicle OBE
Transportation Information Center,parking plan,Commercial Vehicle OBE
Transportation Information Center,road network environmental situation data,Fleet and Freight Management Center
Transportation Information Center,road weather advisories,Fleet and Freight Management Center
Transportation Information Center,road network conditions,Fleet and Freight Management Center
Transportation Information Center,incident information for public,Fleet and Freight Management Center
Transportation Information Center,parking availability,Fleet and Freight Management Center
Transportation Information Center,freight-specific traveler information,Fleet and Freight Management Center
Transportation Information Center,toll data,Fleet and Freight Management Center
Transportation Information Center,parking plan,Fleet and Freight Management Center
Transportation Information Center,freight-specific traveler information,Intermodal Customer System
Transportation Information Center,freight-specific traveler information,Freight Distribution and Logistics Center
Transportation Information Center,trip plan,Personal Information Device
Transportation Information Center,road weather advisories,Personal Information Device
Transportation Information Center,broadcast traveler information,Personal Information Device
Transportation Information Center,emergency traveler information,Personal Information Device
Transportation Information Center,evacuation assistance information,Personal Information Device
Transportation Information Center,shelter recommendations,Personal Information Device
Transportation Information Center,interactive traveler information,Personal Information Device
Transportation Information Center,parking availability,Personal Information Device
Transportation Information Center,freight-specific traveler information,Personal Information Device
Transportation Information Center,lane closure information,Personal Information Device
Transportation Information Center,road closure information,Personal Information Device
Transportation Information Center,travel services information,Personal Information Device
Transportation Information Center,traveler alerts,Personal Information Device
Transportation Information Center,parking plan,Personal Information Device
Transportation Information Center,wayfinding information,Personal Information Device
Transportation Information Center,wayfinding plan,Personal Information Device
Transportation Information Center,guidance updates,Personal Information Device
Transportation Information Center,trip confirmation,Transit Management Center
Transportation Information Center,demand responsive transit request,Transit Management Center
Transportation Information Center,transit trip request,Transit Management Center
Transportation Information Center,transit fare request,Transit Management Center
Transportation Information Center,service information request,Alternate Mode Transportation Center
Transportation Information Center,road network environmental situation data,Weather Service System
Transportation Information Center,road network environmental situation data,Surface Transportation Weather Service
Transportation Information Center,TIC operations information presentation,TIC Operator
Transportation Information Center,traveler archive data,Archived Data System
Transportation Information Center,payment request,Financial Center
Transportation Information Center,toll data request,Payment Administration Center
Transportation Information Center,account updates,Payment Administration Center
Transportation Information Center,smart card reconciliation,Payment Administration Center
Transportation Information Center,trip access coordination,Payment Administration Center
Transportation Information Center,road network environmental situation data,Emergency Management Center
Transportation Information Center,road weather advisories,Emergency Management Center
Transportation Information Center,road network conditions,Emergency Management Center
Transportation Information Center,alert status,Emergency Management Center
Transportation Information Center,emergency traveler information,Shelter Provider Center
Transportation Information Center,evacuee match information,Shelter Provider Center
Transportation Information Center,travel service information request,Travel Services Provider System
Transportation Information Center,travel service reservation request,Travel Services Provider System
Transportation Information Center,trip plan,Traveler Support Equipment
Transportation Information Center,broadcast traveler information,Traveler Support Equipment
Transportation Information Center,emergency traveler information,Traveler Support Equipment
Transportation Information Center,evacuation assistance information,Traveler Support Equipment
Transportation Information Center,shelter recommendations,Traveler Support Equipment
Transportation Information Center,interactive traveler information,Traveler Support Equipment
Transportation Information Center,travel services information,Traveler Support Equipment
Transportation Information Center,parking plan,Traveler Support Equipment
Transportation Information Center,wayfinding information,Traveler Support Equipment
Transportation Information Center,wayfinding plan,Traveler Support Equipment
Transportation Information Center,traffic images,Other Transportation Information Centers
Transportation Information Center,road network conditions,Other Transportation Information Centers
Transportation Information Center,emergency traveler information,Other Transportation Information Centers
Transportation Information Center,incident information for public,Other Transportation Information Centers
Transportation Information Center,parking information,Other Transportation Information Centers
Transportation Information Center,transit service information,Other Transportation Information Centers
Transportation Information Center,alternate mode information,Other Transportation Information Centers
Transportation Information Center,special vehicle alert,Other Transportation Information Centers
Transportation Information Center,traffic image meta data,Other Transportation Information Centers
Transportation Information Center,electric charging information,Other Transportation Information Centers
Transportation Information Center,traveler information for media,Media
Transportation Information Center,social media presence,Social Media
Transportation Information Center,voice-based alert notification,Traveler Information Voice System
Transportation Information Center,voice-based traveler information,Traveler Information Voice System
Transportation Information Center,parking reservation request,Parking Management Center
Transportation Information Center,loading zone reservation request,Parking Management Center
Transportation Information Center,trip plan,Micromobility Vehicle OBE
Transportation Information Center,traveler alerts,Micromobility Vehicle OBE
Transportation Information Center,wayfinding information,Micromobility Vehicle OBE
Transportation Information Center,wayfinding plan,Micromobility Vehicle OBE
Transportation Information Center,guidance updates,Micromobility Vehicle OBE
Transportation Information Center,pathway equipment application info,Pathway Equipment
Transportation Information Center,trip plan,Light Vehicle OBE
Transportation Information Center,electric charging services inventory,Light Vehicle OBE
Transportation Information Center,emergency traveler information,Light Vehicle OBE
Transportation Information Center,evacuation assistance information,Light Vehicle OBE
Transportation Information Center,shelter recommendations,Light Vehicle OBE
Transportation Information Center,interactive traveler information,Light Vehicle OBE
Transportation Information Center,travel services information,Light Vehicle OBE
Transportation Information Center,traveler alerts,Light Vehicle OBE
Transportation Information Center,parking plan,Light Vehicle OBE
Transportation Information Center,guidance updates,Light Vehicle OBE
Transportation Information Center,electric charging reservation request,Electric Charging Management Center
Commercial Vehicle Driver,cv driver input,Commercial Vehicle OBE
Commercial Vehicle Driver,alert response,Commercial Vehicle OBE
Commercial Vehicle Driver,work and rest declarations,Commercial Vehicle OBE
Commercial Vehicle Driver,trigger mass data,Commercial Vehicle OBE
Commercial Vehicle Driver,driver identity characteristics,Commercial Vehicle OBE
Fleet-Freight Manager,fleet manager inquiry,Fleet and Freight Management Center
Fleet-Freight Manager,alert response,Fleet and Freight Management Center
Intermodal Customer System,trip identification number,Commercial Vehicle OBE
Intermodal Customer System,available loads,Fleet and Freight Management Center
Intermodal Customer System,freight transportation status,Fleet and Freight Management Center
Intermodal Customer System,freight transport booking,Fleet and Freight Management Center
Intermodal Customer System,breach response,Fleet and Freight Management Center
Intermodal Customer System,freight traveler information preferences,Transportation Information Center
Intermodal Customer System,available loads,Freight Distribution and Logistics Center
Intermodal Customer System,freight transport booking,Freight Distribution and Logistics Center
Intermodal Customer System,freight transport payment information,Freight Distribution and Logistics Center
Intermodal Customer System,manifest data,Border Inspection Administration Center
Intermodal Customer System,expedited clearance registration,Border Inspection Administration Center
Freight Distribution and Logistics Center,container availability request,Intermodal Terminal
Freight Distribution and Logistics Center,freight transportation status,Intermodal Terminal
Freight Distribution and Logistics Center,load matching info,Fleet and Freight Management Center
Freight Distribution and Logistics Center,freight transport payment information,Fleet and Freight Management Center
Freight Distribution and Logistics Center,freight traveler information preferences,Transportation Information Center
Freight Distribution and Logistics Center,booking status,Intermodal Customer System
Freight Distribution and Logistics Center,manifest data,Border Inspection Administration Center
Freight Distribution and Logistics Center,expedited clearance registration,Border Inspection Administration Center
Freight Distribution and Logistics Center,load matching systems coordination,Other Freight Distribution and Logistics Centers
Freight Consolidation Station,container pickup request,Fleet and Freight Management Center
Personal Information Device,personal location,Vehicle
Personal Information Device,transit user information,Connected Vehicle Roadside Equipment
Personal Information Device,personal location,Connected Vehicle Roadside Equipment
Personal Information Device,personal signal service request,Connected Vehicle Roadside Equipment
Personal Information Device,trip confirmation,Transportation Information Center
Personal Information Device,user account setup,Transportation Information Center
Personal Information Device,trip request,Transportation Information Center
Personal Information Device,emergency traveler information request,Transportation Information Center
Personal Information Device,traveler sourced updates,Transportation Information Center
Personal Information Device,evacuation assistance request,Transportation Information Center
Personal Information Device,shelter request,Transportation Information Center
Personal Information Device,user profile,Transportation Information Center
Personal Information Device,trip feedback,Transportation Information Center
Personal Information Device,traveler request,Transportation Information Center
Personal Information Device,freight traveler information preferences,Transportation Information Center
Personal Information Device,travel services request,Transportation Information Center
Personal Information Device,cv trip request,Transportation Information Center
Personal Information Device,trip status,Transportation Information Center
Personal Information Device,wayfinding request,Transportation Information Center
Personal Information Device,wayfinding feedback,Transportation Information Center
Personal Information Device,transit information user request,Transit Management Center
Personal Information Device,trip confirmation,Transit Management Center
Personal Information Device,transfer request,Transit Management Center
Personal Information Device,user account setup,Transit Management Center
Personal Information Device,traveler payment information,Transit Management Center
Personal Information Device,actuate secure payment,Transit Management Center
Personal Information Device,transit stop request,Transit Management Center
Personal Information Device,transit user information,Transit Vehicle OBE
Personal Information Device,transfer request,Transit Vehicle OBE
Personal Information Device,personal location,Transit Vehicle OBE
Personal Information Device,transit stop request,Transit Vehicle OBE
Personal Information Device,personal updates,Pedestrian
Personal Information Device,user account setup,Payment Administration Center
Personal Information Device,traveler payment information,Payment Administration Center
Personal Information Device,actuate secure payment,Payment Administration Center
Personal Information Device,payment device token information,Payment Administration Center
Personal Information Device,request for payment,Payment Device
Personal Information Device,payment device update,Payment Device
Personal Information Device,user account setup,Emergency Management Center
Personal Information Device,emergency notification,Emergency Management Center
Personal Information Device,stolen vehicle notification,Emergency Management Center
Personal Information Device,vehicle security status thresholds,Emergency Management Center
Personal Information Device,traveler interface updates,Traveler
Personal Information Device,traveler sourced updates,Social Media
Personal Information Device,traveler request,Social Media
Personal Information Device,expedited traveler registration,Border Inspection Administration Center
Personal Information Device,personal updates,MMV User
Personal Information Device,METR discrepancy report,METR System
Personal Information Device,user account setup,Parking Management Center
Personal Information Device,traveler payment information,Parking Management Center
Personal Information Device,actuate secure payment,Parking Management Center
Personal Information Device,user account setup,Shared Use Transportation Center
Personal Information Device,user profile,Shared Use Transportation Center
Personal Information Device,shared use request,Shared Use Transportation Center
Personal Information Device,shared use confirmation,Shared Use Transportation Center
Personal Information Device,shared vehicle access request,Shared Use Transportation Center
Personal Information Device,personal location,Other PIDs
Personal Information Device,emergency notification,Other PIDs
Personal Information Device,emergency acknowledge,Other PIDs
Personal Information Device,emergency notification relay,Other PIDs
Personal Information Device,VRU cluster information,Other PIDs
Personal Information Device,VRU path prediction,Other PIDs
Personal Information Device,VRU hazard event,Other PIDs
Personal Information Device,safety device control,Personal Safety Device
Personal Information Device,communications signature,Pathway Communications Unit
Personal Information Device,shared vehicle access enable,Light Vehicle OBE
Personal Information Device,METR discrepancy report,METR Discrepancy Handling System
Transit Management Center,traffic control priority request,Traffic Management Center
Transit Management Center,transit system data,Traffic Management Center
Transit Management Center,emergency transit schedule information,Traffic Management Center
Transit Management Center,dynamic bus lane request,Traffic Management Center
Transit Management Center,transit probe data,Traffic Management Center
Transit Management Center,work plan feedback,Maint and Constr Management Center
Transit Management Center,transit maintenance schedules,Maint and Constr Management Center
Transit Management Center,transit user guidance application info,Connected Vehicle Roadside Equipment
Transit Management Center,transit and fare schedules,Transportation Information Center
Transit Management Center,transit schedule adherence information,Transportation Information Center
Transit Management Center,transit incident information,Transportation Information Center
Transit Management Center,emergency transit schedule information,Transportation Information Center
Transit Management Center,demand responsive transit plan,Transportation Information Center
Transit Management Center,transit fare information,Transportation Information Center
Transit Management Center,transit trip plan,Transportation Information Center
Transit Management Center,transit probe data,Transportation Information Center
Transit Management Center,trip plan,Personal Information Device
Transit Management Center,transfer status,Personal Information Device
Transit Management Center,user account reports,Personal Information Device
Transit Management Center,traveler payment request,Personal Information Device
Transit Management Center,personal transit information,Personal Information Device
Transit Management Center,registered secureIDs,Personal Information Device
Transit Management Center,route assignment,Transit Vehicle Operator
Transit Management Center,transit operations status,Transit Operations Personnel
Transit Management Center,transit traveler information,Transit Vehicle OBE
Transit Management Center,transit vehicle operator information,Transit Vehicle OBE
Transit Management Center,connection protection instructions,Transit Vehicle OBE
Transit Management Center,transfer status,Transit Vehicle OBE
Transit Management Center,authorization response,Transit Vehicle OBE
Transit Management Center,transit schedule information,Transit Vehicle OBE
Transit Management Center,fare management information,Transit Vehicle OBE
Transit Management Center,transit stop request,Transit Vehicle OBE
Transit Management Center,transit stop locations,Transit Vehicle OBE
Transit Management Center,alarm acknowledge,Transit Vehicle OBE
Transit Management Center,remote vehicle disable,Transit Vehicle OBE
Transit Management Center,transit vehicle operator authentication update,Transit Vehicle OBE
Transit Management Center,service information request,Alternate Mode Transportation Center
Transit Management Center,transit alternate mode information,Alternate Mode Transportation Center
Transit Management Center,alternate mode service coordination,Alternate Mode Transportation Center
Transit Management Center,transit service coordination,Other Transit Management Centers
Transit Management Center,transit fare coordination,Other Transit Management Centers
Transit Management Center,transit traveler information coordination,Other Transit Management Centers
Transit Management Center,transit and fare schedules,Emissions Management Center
Transit Management Center,low emissions zone coordination,Emissions Management Center
Transit Management Center,transit emissions data,Emissions Management Center
Transit Management Center,transit archive data,Archived Data System
Transit Management Center,payment violation notification,Enforcement Center
Transit Management Center,payment request,Financial Center
Transit Management Center,service registry,Payment Administration Center
Transit Management Center,account updates,Payment Administration Center
Transit Management Center,smart card reconciliation,Payment Administration Center
Transit Management Center,trip access coordination,Payment Administration Center
Transit Management Center,event transit service plans,Event Promoter System
Transit Management Center,emergency transit schedule information,Emergency Management Center
Transit Management Center,emergency plan coordination,Emergency Management Center
